pool_id,status,cbc_result,objective,best_bound,gap,build_seconds,solve_seconds,wall_seconds,n_variables,n_binaries,n_constraints,nodes,time_limit_hit,constraints_coverage,constraints_rest,constraints_hours_7d,constraints_days_7d,constraints_hours_month,constraints_overtime_link,constraints_fairness_link,uncovered_seats,pay_cost,overtime_cost,fairness_total_dev_hours,fairness_max_dev_hours
BHX-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),165485.03789183998,165239.695,0.0014825684241032582,0.161,1.374,1.535,1599,1421,1598,0,False,129,860,280,281,12,12,24,0.0,165297.8993,0.0,3.2955,1.2123
BHX-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),78406.66365830004,78033.692,0.004756887245266156,0.173,0.868,1.041,1505,1327,1529,0,False,129,805,273,275,11,12,24,0.0,78092.7192,9.7907,3.0527,2.431
BHX-E190-CPT,OPTIMAL,Optimal solution found (within gap tolerance),132967.203486,132672.863,0.0022136322212040187,0.112,0.866,0.978,1045,907,1298,0,False,97,684,237,240,10,10,20,0.0,132640.0732,0.0,5.6495,2.1414
BHX-E190-FO,OPTIMAL,Optimal solution found (within gap tolerance),65309.55234459999,65144.059,0.002533983753659518,0.115,16.053,16.168,1064,926,1332,1088,False,97,705,244,246,10,10,20,0.0,65302.5077,0.0,0.0587,0.0587
EDI-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),127052.04962099997,126864.971,0.0014724565369706767,0.096,0.692,0.788,905,770,1087,0,False,98,544,202,207,9,9,18,0.0,126996.7494,55.3003,0.0,0.0
EDI-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),63133.35390000002,62977.371,0.0024706892690523957,0.102,1.28,1.382,961,826,1151,0,False,98,580,217,220,9,9,18,0.0,62939.0935,194.2604,0.0,0.0
EDI-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),233113.13054749998,232996.92,0.0004985156658787624,0.075,0.732,0.807,690,559,814,0,False,98,381,149,155,7,8,16,2.0,124812.0707,3949.6297,84.9524,26.5238
EDI-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),58976.031444,58830.717,0.0024639576526607238,0.095,0.232,0.328,872,741,1041,0,False,98,516,197,198,8,8,16,0.0,58976.0314,0.0,0.0,0.0
MAN-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),241707.1737569999,240768.313,0.00388428999605855,0.27,1.227,1.496,2818,2563,2471,0,False,190,1503,355,360,15,16,32,0.0,238766.1257,1437.785,35.3451,7.9636
MAN-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),120637.34505379997,120240.775,0.0032872909597200096,0.338,1.356,1.694,3331,3068,2931,0,False,190,1810,428,431,18,18,36,0.0,120597.2888,0.0,0.3338,0.3338
MAN-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),167734.35970180001,167342.846,0.0023341294085246545,0.163,1.373,1.535,1615,1438,1610,0,False,128,850,292,292,12,12,24,0.0,167551.3587,0.0,3.1398,1.2021
MAN-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),76630.3522267,76320.493,0.0040435573855032905,0.155,5.448,5.603,1528,1351,1538,2,False,128,799,280,283,12,12,24,0.0,76383.2585,26.1432,3.8597,1.4376
