crew_id,rank,base,type_ratings,pool_id,fte,hourly_rate_gbp,available_days,duties,hours,target_hours,deviation_hours,dev_outside_band,utilisation,overtime_threshold_hours,overtime_hours,pay_cost,overtime_cost
C0001,CPT,MAN,A320,MAN-A320-CPT,1.0,183.17,21,13,103.5834,79.01847911275416,24.564920887245833,20.564920887245833,1.3108756478619805,110.0,0.0,18973.371378,0.0
C0002,CPT,MAN,A320,MAN-A320-CPT,1.0,130.86,29,14,108.8335,109.12075686999384,-0.2872568699938398,0.0,0.9973675322804434,110.0,0.0,14241.951810000002,0.0
C0003,CPT,MAN,A320,MAN-A320-CPT,1.0,132.32,31,14,111.4999,116.64632630930376,-5.146426309303763,1.146426309303763,0.9558800823640403,110.0,1.4998999999999967,14753.666768,99.23338399999977
C0004,CPT,MAN,A320,MAN-A320-CPT,1.0,176.86,24,14,109.3333,90.30683327171904,19.02646672828095,15.026466728280951,1.2106868997502471,110.0,0.0,19336.687438,0.0
C0005,CPT,MAN,A320,MAN-A320-CPT,1.0,159.21,31,14,113.4167,116.64632630930376,-3.229626309303754,0.0,0.9723126616029042,110.0,3.416700000000006,18057.072807,271.9864035000005
C0007,CPT,MAN,A320,MAN-A320-CPT,1.0,180.77,31,14,110.41669999999999,116.64632630930376,-6.229626309303768,2.229626309303768,0.9465938919260513,110.0,0.41669999999999163,19960.026859,37.663429499999246
C0008,CPT,MAN,A320,MAN-A320-CPT,1.0,139.53,20,13,108.0,75.2556943930992,32.744305606900795,28.744305606900795,1.435107347968387,110.0,0.0,15069.24,0.0
C0010,CPT,MAN,A320,MAN-A320-CPT,1.0,131.11,29,13,113.6668,109.12075686999384,4.546043130006154,0.5460431300061543,1.0416606634741574,110.0,3.666799999999995,14902.854148,240.37707399999968
C0011,CPT,MAN,A320,MAN-A320-CPT,1.0,129.68,31,14,114.4999,116.64632630930376,-2.146426309303763,0.0,0.9815988520408931,110.0,4.499899999999997,14848.347032,291.7735159999998
C0012,CPT,MAN,A320,MAN-A320-CPT,1.0,172.54,31,13,107.00019999999999,116.64632630930376,-9.646126309303767,5.646126309303767,0.9173044997257287,110.0,0.0,18461.814508,0.0
C0013,CPT,MAN,A320,MAN-A320-CPT,1.0,185.4,29,6,47.75,109.12075686999384,-61.37075686999384,57.37075686999384,0.4375886070593262,110.0,0.0,8852.85,0.0
C0014,CPT,MAN,A320,MAN-A320-CPT,1.0,154.27,31,14,108.4166,116.64632630930376,-8.229726309303757,4.229726309303757,0.9294471881824936,110.0,0.0,16725.428882,0.0
C0015,CPT,MAN,A320,MAN-A320-CPT,1.0,158.07,31,14,112.0831,116.64632630930376,-4.563226309303758,0.5632263093037579,0.9608798111892205,110.0,2.0831000000000017,17716.975617,164.63780850000012
C0016,CPT,MAN,A320,MAN-A320-CPT,0.75,173.03,30,10,76.5831,84.66265619223661,-8.079556192236609,4.079556192236609,0.9045676505366071,82.5,0.0,13251.173793,0.0
C0017,CPT,MAN,A320,MAN-A320-CPT,1.0,175.12,0,0,0.0,0.0,0.0,0.0,,110.0,0.0,0.0,0.0
C0018,CPT,MAN,A320,MAN-A320-CPT,0.75,148.09,19,10,81.66669999999999,53.619682255083184,28.047017744916808,24.047017744916808,1.5230731806930453,82.5,0.0,12094.021603,0.0
C0019,FO,MAN,A320,MAN-A320-FO,1.0,83.05,29,14,109.4166,90.22057483443709,19.196025165562915,15.196025165562915,1.212767710700019,110.0,0.0,9087.04863,0.0
C0020,FO,MAN,A320,MAN-A320-FO,1.0,81.61,31,14,108.75,96.4426834437086,12.307316556291397,8.307316556291397,1.1276127552327482,110.0,0.0,8875.0875,0.0
C0021,FO,MAN,A320,MAN-A320-FO,1.0,87.24,31,0,0.0,96.4426834437086,-96.4426834437086,92.4426834437086,0.0,110.0,0.0,0.0,0.0
C0022,FO,MAN,A320,MAN-A320-FO,0.75,58.81,30,11,88.16669999999999,69.99872185430463,18.167978145695358,14.167978145695358,1.2595472840705606,82.5,5.666699999999992,5185.083627,166.62931349999977
C0023,FO,MAN,A320,MAN-A320-FO,1.0,80.61,23,14,104.6669,71.55424900662251,33.112650993377486,29.112650993377486,1.4627628890397946,110.0,0.0,8437.198809,0.0
C0024,FO,MAN,A320,MAN-A320-FO,1.0,59.32,31,15,119.1668,96.4426834437086,22.724116556291392,18.724116556291392,1.2356230223473088,110.0,9.166799999999995,7068.974576,271.88728799999984
C0025,FO,MAN,A320,MAN-A320-FO,1.0,78.68,29,13,109.8332,90.22057483443709,19.612625165562918,15.612625165562918,1.2173852826980305,110.0,0.0,8641.676176,0.0
C0026,FO,MAN,A320,MAN-A320-FO,1.0,85.93,22,14,107.3335,68.44319470198676,38.890305298013246,34.890305298013246,1.568212887597492,110.0,0.0,9223.167655000001,0.0
